comment_id,comment_text,platform,true_category,batch_id,source_type
1,The Zara blazer started fraying after one wash; not acceptable. Seriously.,Xiaohongshu,quality_complaint,week1,synthetic
2,The Zara dress started pilling after two wears; not acceptable. I need an update.,Instagram,quality_complaint,week2,synthetic
3,The Zara trousers started shrinking after three days; not acceptable. This is frustrating.,TikTok,quality_complaint,week3,synthetic
4,The Zara shirt started coming apart after a week; not acceptable. Please sort this out.,Xiaohongshu,quality_complaint,week1,synthetic
5,The Zara jacket started losing shape after ten days; not acceptable. Not acceptable.,Instagram,quality_complaint,week2,synthetic
6,Wore this Zara dress two wears and the zip already pilling 🙃 Seriously.,TikTok,quality_complaint,week1,synthetic
7,Wore this Zara trousers three days and the lining already shrinking 🙃 I need an update.,Xiaohongshu,quality_complaint,week2,synthetic
8,Wore this Zara shirt a week and the button already coming apart 🙃 This is frustrating.,Instagram,quality_complaint,week3,synthetic
9,Wore this Zara jacket ten days and the hem already losing shape 🙃 Please sort this out.,TikTok,quality_complaint,week1,synthetic
10,Wore this Zara blazer one wash and the seam already fraying 🙃 Not acceptable.,Xiaohongshu,quality_complaint,week2,synthetic
11,The fabric on my Zara trousers feels cheap and shrinking after washing. Seriously.,Instagram,quality_complaint,week1,synthetic
12,The fabric on my Zara shirt feels cheap and coming apart after washing. I need an update.,TikTok,quality_complaint,week2,synthetic
13,The fabric on my Zara jacket feels cheap and losing shape after washing. This is frustrating.,Xiaohongshu,quality_complaint,week3,synthetic
14,The fabric on my Zara blazer feels cheap and fraying after washing. Please sort this out.,Instagram,quality_complaint,week1,synthetic
15,The fabric on my Zara dress feels cheap and pilling after washing. Not acceptable.,TikTok,quality_complaint,week2,synthetic
16,Why is the Zara shirt coming apart already? Expected much better. Seriously.,Xiaohongshu,quality_complaint,week1,synthetic
17,Why is the Zara jacket losing shape already? Expected much better. I need an update.,Instagram,quality_complaint,week2,synthetic
18,Why is the Zara blazer fraying already? Expected much better. This is frustrating.,TikTok,quality_complaint,week3,synthetic
19,Why is the Zara dress pilling already? Expected much better. Please sort this out.,Xiaohongshu,quality_complaint,week1,synthetic
20,Why is the Zara trousers shrinking already? Expected much better. Not acceptable.,Instagram,quality_complaint,week2,synthetic
21,"Zara's jacket looked good online, but the hem losing shape immediately. Seriously.",TikTok,quality_complaint,week1,synthetic
22,"Zara's blazer looked good online, but the seam fraying immediately. I need an update.",Xiaohongshu,quality_complaint,week2,synthetic
23,"Zara's dress looked good online, but the zip pilling immediately. This is frustrating.",Instagram,quality_complaint,week3,synthetic
24,"Zara's trousers looked good online, but the lining shrinking immediately. Please sort this out.",TikTok,quality_complaint,week1,synthetic
25,"Zara's shirt looked good online, but the button coming apart immediately. Not acceptable.",Xiaohongshu,quality_complaint,week2,synthetic
26,Not impressed: my Zara blazer became fraying after one wash. Seriously.,Instagram,quality_complaint,week1,synthetic
27,Not impressed: my Zara dress became pilling after two wears. I need an update.,TikTok,quality_complaint,week2,synthetic
28,Not impressed: my Zara trousers became shrinking after three days. This is frustrating.,Xiaohongshu,quality_complaint,week3,synthetic
29,Not impressed: my Zara shirt became coming apart after a week. Please sort this out.,Instagram,quality_complaint,week1,synthetic
30,Not impressed: my Zara jacket became losing shape after ten days. Not acceptable.,TikTok,quality_complaint,week2,synthetic
31,The stitching on this Zara dress is awful; it pilling on day one. Seriously.,Xiaohongshu,quality_complaint,week1,synthetic
32,The stitching on this Zara trousers is awful; it shrinking on day one. I need an update.,Instagram,quality_complaint,week2,synthetic
33,The stitching on this Zara shirt is awful; it coming apart on day one. This is frustrating.,TikTok,quality_complaint,week3,synthetic
34,The stitching on this Zara jacket is awful; it losing shape on day one. Please sort this out.,Xiaohongshu,quality_complaint,week1,synthetic
35,The stitching on this Zara blazer is awful; it fraying on day one. Not acceptable.,Instagram,quality_complaint,week2,synthetic
36,Zara quality check missed this: the trousers arrived with a shrinking lining. Seriously.,TikTok,quality_complaint,week1,synthetic
37,Zara quality check missed this: the shirt arrived with a coming apart button. I need an update.,Xiaohongshu,quality_complaint,week2,synthetic
38,Zara quality check missed this: the jacket arrived with a losing shape hem. This is frustrating.,Instagram,quality_complaint,week3,synthetic
39,Zara quality check missed this: the blazer arrived with a fraying seam. Please sort this out.,TikTok,quality_complaint,week1,synthetic
40,Zara quality check missed this: the dress arrived with a pilling zip. Not acceptable.,Xiaohongshu,quality_complaint,week2,synthetic
41,My Zara order has been stuck in transit for one wash. Where is it? Seriously.,Instagram,logistics_complaint,week1,synthetic
42,My Zara order has been stuck in transit for two wears. Where is it? I need an update.,TikTok,logistics_complaint,week2,synthetic
43,My Zara order has been stuck in transit for three days. Where is it? This is frustrating.,Xiaohongshu,logistics_complaint,week3,synthetic
44,My Zara order has been stuck in transit for a week. Where is it? Please sort this out.,Instagram,logistics_complaint,week3,synthetic
45,My Zara order has been stuck in transit for ten days. Where is it? Not acceptable.,TikTok,logistics_complaint,week3,synthetic
46,"The Zara parcel says delivered, but nothing is at my door. Seriously.",Xiaohongshu,logistics_complaint,week1,synthetic
47,"The Zara parcel says delivered, but nothing is at my door. I need an update.",Instagram,logistics_complaint,week2,synthetic
48,"The Zara parcel says delivered, but nothing is at my door. This is frustrating.",TikTok,logistics_complaint,week3,synthetic
